hub	path	title	when
arch-system	/home/yejashi/.config/opencode/skill/arch-system/gpu-and-rocm.md	Inspect the AMD GPU and the ROCm toolchain	checking VRAM use, diagnosing a HIP build or runtime failure, or confirming the GPU architecture
arch-system	/home/yejashi/.config/opencode/skill/arch-system/package-management.md	Install and inspect packages	a command is not found, installing a tool, or checking what version of something is on this machine
arch-system	/home/yejashi/.config/opencode/skill/arch-system/systemd-user-units.md	Manage systemd user units	starting or stopping a background service, reading its logs, editing a unit file, or a service will not stay running
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/build-llama-cpp.md	Rebuild llama.cpp for HIP / gfx1201	updating llama.cpp, a build fails, you need a llama.cpp feature the current binary lacks, or you are switching between the HIP and Vulkan backends
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/debug-prompt-logging.md	Capture the exact prompt the model received	the model behaves oddly, ignores instructions, refuses, or you need to measure how large a system prompt actually is
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/models-ini-reference.md	models.ini keys and why each is set	editing the router preset, adding a model, or tuning context, sampling, KV cache, or idle behaviour
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/refusals-and-system-prompts.md	A local model refuses or deflects	an uncensored or abliterated model still refuses, gives hedged non-answers, or behaves differently than it does outside OpenCode
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/router-architecture.md	How the router is wired	you need the overall shape — what serves :8080, which files control it, how a request becomes a loaded model
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/service-control.md	Start, stop, and inspect the router service	the router is down, you changed models.ini or start-router.sh, port 8080 refuses connections, or the process was killed
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/swap-models.md	Switch which model is served	changing models from the OpenCode picker, a model id 404s, the wrong model answers, or you want to know what is loaded right now
local-llm-ops	/home/yejashi/.config/opencode/skill/local-llm-ops/vram-budget.md	VRAM budget and what to do when a model will not fit	a model fails to load, output collapses to a few tokens per second, you are choosing a quant, or you are adding a third model
opencode-ecosystem	/home/yejashi/.config/opencode/skill/opencode-ecosystem/agents.md	Community agent and subagent packs	looking for ready-made agent definitions, subagent collections, or orchestration setups to borrow from
opencode-ecosystem	/home/yejashi/.config/opencode/skill/opencode-ecosystem/plugins.md	Community OpenCode plugins	looking for an existing plugin before writing one — auth, memory, context, notifications, sessions, git, or any hook-based extension
opencode-ecosystem	/home/yejashi/.config/opencode/skill/opencode-ecosystem/projects.md	Projects and tools built on OpenCode	looking for an existing GUI, wrapper, proxy, bridge, or integration around OpenCode instead of building one
opencode-ecosystem	/home/yejashi/.config/opencode/skill/opencode-ecosystem/resources.md	Guides, starters, and reference material	looking for tutorials, starter configs, or written guides about OpenCode
opencode-ecosystem	/home/yejashi/.config/opencode/skill/opencode-ecosystem/themes.md	Community TUI themes	changing the OpenCode TUI colour scheme
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/agent-roster.md	The agent roster and when to use each	choosing between build, orchestrate, raw, implementer, or tester; editing an agent definition; or deciding whether delegation is worth it
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/authoring-skills.md	Add or edit a skill in this workspace	writing a new skill, adding a topic to an existing one, or the hub index looks out of date
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/config-changes.md	Change opencode.json safely	editing OpenCode config, a change appears to have no effect, or OpenCode refuses to start after an edit
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/local-model-limits.md	What OpenCode cannot control on the local provider	tuning reasoning effort or temperature per agent, a model replies with no tool call, or an agent-level option appears to do nothing
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/lsp-config.md	LSP servers and the lsp config key	language diagnostics are missing, adding a language server, or editing the lsp key in opencode.json
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/memory-protocol.md	The MEMORY.md protocol	finishing significant work, recording a decision or blocker, or looking for prior context on this machine
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/model-resolution.md	Which model an agent actually runs on	an agent runs on an unexpected model, you are adding or removing an agent's model pin, or you want subagents to follow the picker
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/permissions.md	Permission rules and per-agent skill rosters	restricting what an agent may do, giving one agent a different set of skills, or a tool asks for approval when it should not
opencode-workspace	/home/yejashi/.config/opencode/skill/opencode-workspace/skill-system.md	How OpenCode finds and loads skills	a skill is not offered to the model, you are deciding where to put one, or you are worried about skills bloating the system prompt
